"","score","text","klasifikasi","x"
"341",0," jika masa efektif sinovac bulan maka akhir oktober guru guru jakaa har… ","Netral"," jika masa efektif sinovac bulan maka akhir oktober guru guru jakaa har… "
"342",0," jika masa efektif sinovac bulan maka akhir oktober guru guru jakaa harus mendapat va… ","Netral"," jika masa efektif sinovac bulan maka akhir oktober guru guru jakaa harus mendapat va… "
"343",1," ada di preston kak sekarang vaksin dosis sinovacastra bisaaaa","Positif"," ada di preston kak sekarang vaksin dosis sinovacastra bisaaaa"
"344",-1," lisa pke vaksin sinovac kayaknya jadi tidak bsa terbang keluar negeri","Negatif"," lisa pke vaksin sinovac kayaknya jadi tidak bsa terbang keluar negeri"
"345",1,"ayo hadiri gerai vaksin tni polri yang akan dilaksanakan pada hari rabu tanggal oktober jam … ","Netral","ayo hadiri gerai vaksin tni polri yang akan dilaksanakan pada hari rabu tanggal oktober jam … "
"347",0," min yang butuh vaksin dosis astrazeneca sinovac sekarang langsung ke sama sampai jam ","Netral"," min yang butuh vaksin dosis astrazeneca sinovac sekarang langsung ke sama sampai jam "
"349",0,"sekitar orang mengikuti vaksin pfizer tahap dua dan orang mengikuti vaksin sinovac tahap peama di gedung s… ","Positif","sekitar orang mengikuti vaksin pfizer tahap dua dan orang mengikuti vaksin sinovac tahap peama di gedung s… "
"350",0," warga mengikuti vaksin pfizer dan sinovac di puskesmas wanasari ","Netral"," warga mengikuti vaksin pfizer dan sinovac di puskesmas wanasari "
"351",1,"penelitian booster vaksin pfizer terbukti lebih manjur dari sinovac ","Positif","penelitian booster vaksin pfizer terbukti lebih manjur dari sinovac "
"352",1," kalaudari ketersediaan biofarma bisa produksi karena udah beli biang vaksin sama coldchain yang tidak terlalu… ","Positif"," kalaudari ketersediaan biofarma bisa produksi karena udah beli biang vaksin sama coldchain yang tidak terlalu… "
"353",0,"yang mau vaksin astrazeneca atau sinovac dosis dan bisa langsung tancap gas ke preston yaaaa … ","Netral","yang mau vaksin astrazeneca atau sinovac dosis dan bisa langsung tancap gas ke preston yaaaa … "
"354",1,"informasi mengenai vaksinasi di setiajaya toyota cimanggis depok periode oktober menggunakan jenis vaksin… ","Netral","informasi mengenai vaksinasi di setiajaya toyota cimanggis depok periode oktober menggunakan jenis vaksin… "
"355",0,"pengamanan kedatangan vaksin sinovac dari jakaa dengan menggunakan pesawat lion air jt selanjutnya di bawa ke… ","Positif","pengamanan kedatangan vaksin sinovac dari jakaa dengan menggunakan pesawat lion air jt selanjutnya di bawa ke… "
"356",0," dilihat dari angka efikasi tapi sinovac perannya besar buat wave junijuli kemarin di sini kontranya vaksi…","Positif"," dilihat dari angka efikasi tapi sinovac perannya besar buat wave junijuli kemarin di sini kontranya vaksi…"
"358",0,"kedatngan vaksin sinovac melalui bandara intl dengan menggunakan pesawat lion air dari jakaa dengan menggunakan… ","Positif","kedatngan vaksin sinovac melalui bandara intl dengan menggunakan pesawat lion air dari jakaa dengan menggunakan… "
"359",2,"dalam rangka memperingati hut tni ke tni melalui bais badan intelijen strategis menggelontorkan vaksin jenis s… ","Positif","dalam rangka memperingati hut tni ke tni melalui bais badan intelijen strategis menggelontorkan vaksin jenis s… "
"360",0,"pada hari selasa tanggal oktober pkl sd wib babinsa desa tempursari serka maryadi melaksanakan pen… ","Netral","pada hari selasa tanggal oktober pkl sd wib babinsa desa tempursari serka maryadi melaksanakan pen… "
"361",0,"sementara itu jenis vaksin yang digunakan antara lain sinovac astrazeneca dan moderna … ","Netral","sementara itu jenis vaksin yang digunakan antara lain sinovac astrazeneca dan moderna … "
"362",0," iya sekalian syarat masuk ke perancis deh kayaknya vaksin sinovac kan tidak berlaku di pe… ","Negatif"," iya sekalian syarat masuk ke perancis deh kayaknya vaksin sinovac kan tidak berlaku di pe… "
"363",1,"babinsa koramil margorejo seu masgito dan bripka yusup catur gunawan melaksanakan pendampingan vaksinasi jenis si… ","Positif","babinsa koramil margorejo seu masgito dan bripka yusup catur gunawan melaksanakan pendampingan vaksinasi jenis si… "
"365",1,"vaksinasi presisi rabu oktober jam wita lokasi desa batulayar barat desa lembah sari des… ","Netral","vaksinasi presisi rabu oktober jam wita lokasi desa batulayar barat desa lembah sari des… "
"367",0," vaksin apa aku astrazeneca bulan peengahan juni peengahan sept ou adekku sinovac bulan","Netral"," vaksin apa aku astrazeneca bulan peengahan juni peengahan sept ou adekku sinovac bulan"
"368",2,"syukurlah sekeluarga sudah vaksin ada yang dapat sinovaccoronavac vaxzevria dan moderna semoga diparingi sehat kabeh","Positif","syukurlah sekeluarga sudah vaksin ada yang dapat sinovaccoronavac vaxzevria dan moderna semoga diparingi sehat kabeh"
"369",0," untuk pendaftaran vaksin sinovac hari senin oktober di klinik polresta bandung jlbhayangkara soreang silahka…","Netral"," untuk pendaftaran vaksin sinovac hari senin oktober di klinik polresta bandung jlbhayangkara soreang silahka…"
"370",1," kalausinovac sih hari laki aku pas vaksin ny telat mingguan tidak masalah tapi kalaubelom jadwalnya vaksin ya tidak boleh","Netral"," kalausinovac sih hari laki aku pas vaksin ny telat mingguan tidak masalah tapi kalaubelom jadwalnya vaksin ya tidak boleh"
"371",-1," vaksin covid oktober di kampus untag sinovac dosis oktober di gedung pkk pfizer dosis syarat jadwal l…","Netral"," vaksin covid oktober di kampus untag sinovac dosis oktober di gedung pkk pfizer dosis syarat jadwal l…"
"372",0," hari pahit manis di ppv integrasi idcc shah alam berakhir oktober dengan pemberian vaksinasi … ","Netral"," hari pahit manis di ppv integrasi idcc shah alam berakhir oktober dengan pemberian vaksinasi … "
"373",0,"pimpinan ipda edward daniel m masih kanit reskrim polsek kedungwaringin bersama pkm karangsambung dan aparat desa… ","Netral","pimpinan ipda edward daniel m masih kanit reskrim polsek kedungwaringin bersama pkm karangsambung dan aparat desa… "
"374",1," dosis vaksin sinovac tiba di sumut personil brimob beri pengawalan ","Positif"," dosis vaksin sinovac tiba di sumut personil brimob beri pengawalan "
"375",1," siapa belum vaksin ke dengan jenis vaksin sinovac","Netral"," siapa belum vaksin ke dengan jenis vaksin sinovac"
"376",0," min mohon informasi untuk vaksin dosis sinovac untuk area sidoarjo dong","Netral"," min mohon informasi untuk vaksin dosis sinovac untuk area sidoarjo dong"
"377",0," bolehh tapi kalauragu dipending aja gapapa sepeinya pas w vaksin sinovac peama petugasnya ngasi tau… ","Netral"," bolehh tapi kalauragu dipending aja gapapa sepeinya pas w vaksin sinovac peama petugasnya ngasi tau… "
"378",0,"unit binmas di pimpin panit binnas aiptu parjiati dan babhinkamtibmas gayamharjo prambanan sleman melaksanakan pe… ","Netral","unit binmas di pimpin panit binnas aiptu parjiati dan babhinkamtibmas gayamharjo prambanan sleman melaksanakan pe… "
"379",1,"ayo baca daftar negara yang izinkan wisatawan dengan vaksin sinovac indonesia termasuk tidak ya ","Netral","ayo baca daftar negara yang izinkan wisatawan dengan vaksin sinovac indonesia termasuk tidak ya "
"380",-1,"vaksin covid oktober di kampus untag sinovac dosis oktober di gedung pkk pfizer dosis syarat jad… ","Negatif","vaksin covid oktober di kampus untag sinovac dosis oktober di gedung pkk pfizer dosis syarat jad… "
"381",5," tidak apa-apa kok aku minggu kemarin vaksin k dan pas lagi reddays vaksin sinovacefeknya ya tetap ngantuk sama laper aja","Positif"," tidak apa-apa kok aku minggu kemarin vaksin k dan pas lagi reddays vaksin sinovacefeknya ya tetap ngantuk sama laper aja"
"383",1,"tetiba nanti announce offline conce pastuuu intl penggemar boleh join kecuali yang vaksin sinovac je tak boleh join k… ","Negatif","tetiba nanti announce offline conce pastuuu intl penggemar boleh join kecuali yang vaksin sinovac je tak boleh join k… "
"384",0," kok lu bisa vaksin pfizer kan sinovac doang eh kamu under kan","Netral"," kok lu bisa vaksin pfizer kan sinovac doang eh kamu under kan"
"385",-1," saya punya alergi berat hipeensi dan kolesterol tinggi alhamdulillah vaksin sinovac sudah lengkap baik saja sampai skr…","Positif"," saya punya alergi berat hipeensi dan kolesterol tinggi alhamdulillah vaksin sinovac sudah lengkap baik saja sampai skr…"
"386",3," vaksin ini vaksin sinovac ya vaksin kemarin vaksin jenis apa boleh naikin lengan bajunya jadi ","Netral"," vaksin ini vaksin sinovac ya vaksin kemarin vaksin jenis apa boleh naikin lengan bajunya jadi "
"387",-1," kejadian nyata sepupu mau nikah di jerman karena dapat orang jerman ditolak kan vaksin sinovac tapi karena kelurahan… ","Negatif"," kejadian nyata sepupu mau nikah di jerman karena dapat orang jerman ditolak kan vaksin sinovac tapi karena kelurahan… "
"390",1,"informasi vaksin gratis kota palangkaraya kalimantan tengah selasa oktober sinovac ","Netral","informasi vaksin gratis kota palangkaraya kalimantan tengah selasa oktober sinovac "
"391",0,"min yang butuh vaksin dosis astrazeneca sinovac sekarang langsung ke sama sampai jam ","Netral","min yang butuh vaksin dosis astrazeneca sinovac sekarang langsung ke sama sampai jam "
"394",-3," aku punya asma udah vaksin sinovac kali badan cuma nyeri sama demam sedikit","Negatif"," aku punya asma udah vaksin sinovac kali badan cuma nyeri sama demam sedikit"
"395",1,"kapolsek jatibarang bersama dengan forkopimcam monitoring pelaksanaan vaksinasi dosis i di mts assysyafiiyah ke… ","Positif","kapolsek jatibarang bersama dengan forkopimcam monitoring pelaksanaan vaksinasi dosis i di mts assysyafiiyah ke… "
"396",2,"vaksin kamu sinovac astrazeneca moderna atau pfizer posko vaksinasi psi jakaa menyediakan keempat jenis vaksin tersebu… ","Netral","vaksin kamu sinovac astrazeneca moderna atau pfizer posko vaksinasi psi jakaa menyediakan keempat jenis vaksin tersebu… "
"398",-1,"bisa vaksin dosis dua astrazeneca dan sinovac di sampai jam hari ini saja","Netral","bisa vaksin dosis dua astrazeneca dan sinovac di sampai jam hari ini saja"
"399",-1,"saya punya alergi berat hipeensi dan kolesterol tinggi alhamdulillah vaksin sinovac sudah lengkap baik saja sam… ","Positif","saya punya alergi berat hipeensi dan kolesterol tinggi alhamdulillah vaksin sinovac sudah lengkap baik saja sam… "
"400",1,"siapa belum vaksin ke dengan jenis vaksin sinovac","Positif","siapa belum vaksin ke dengan jenis vaksin sinovac"
"401",-2," iya full sudah mengikuti anjuran pemerintah sinovac kak nami respon di tubuh ku hanya nyeri di se… ","Negatif"," iya full sudah mengikuti anjuran pemerintah sinovac kak nami respon di tubuh ku hanya nyeri di se… "
"402",0,"heh informasi vaksin sinovac dosis ning kabupatenkota madiun dong slur","Netral","heh informasi vaksin sinovac dosis ning kabupatenkota madiun dong slur"
"404",1,"vaksin ke harus moderna tidak ada pilihan sinovac pfizer atau astrazeneca kenapa untuk booster vaksin covid hanya a… ","Positif","vaksin ke harus moderna tidak ada pilihan sinovac pfizer atau astrazeneca kenapa untuk booster vaksin covid hanya a… "
"405",-1,"informasi vaksin di malang ooo ini kak astrazeneca ini sinovac ini dosis informasi vaksin di rumah sendiri clueless","Negatif","informasi vaksin di malang ooo ini kak astrazeneca ini sinovac ini dosis informasi vaksin di rumah sendiri clueless"
"406",-1,"teruntuk bapak tni yang nyuntikin aku vaksin ke dua sinovac tadi pagi set cuma mo bilang ke bapaknya kamu made my… ","Negatif","teruntuk bapak tni yang nyuntikin aku vaksin ke dua sinovac tadi pagi set cuma mo bilang ke bapaknya kamu made my… "
"408",1,"mau vaksin kedua kapan ya seharusnya jadwalnya senin minggu kemarin tapi di kecamatan ku belum ada mau ke rsud… ","Positif","mau vaksin kedua kapan ya seharusnya jadwalnya senin minggu kemarin tapi di kecamatan ku belum ada mau ke rsud… "
"410",1,"sayang yang rumahnya di bekasi cipayung cibubur ayo vaksin sinovac dan astrazeneca di universitas dian nusantara","Positif","sayang yang rumahnya di bekasi cipayung cibubur ayo vaksin sinovac dan astrazeneca di universitas dian nusantara"
"411",1," ya kan benar aku juga rasa gitu soalny kamu vaksin apa sinovac kah","Positif"," ya kan benar aku juga rasa gitu soalny kamu vaksin apa sinovac kah"
"412",0,"vaksin selamat untuk remaja tahun ibu bapa tak perlu risau dan perlu yakinkan anakanak tentang k… ","Netral","vaksin selamat untuk remaja tahun ibu bapa tak perlu risau dan perlu yakinkan anakanak tentang k… "
"413",0,"patroli personil polsek jabiren raya cek keamanan vaksin sinovac ","Netral","patroli personil polsek jabiren raya cek keamanan vaksin sinovac "
"414",0,"takpe ke vaksin sinovac campur pfizer ","Netral","takpe ke vaksin sinovac campur pfizer "
"415",-1," seperti biasakerja panas lagiaku sinovac wkwkwkallhamdulillah sinovac tidak ada efek samping buat tu… ","Negatif"," seperti biasakerja panas lagiaku sinovac wkwkwkallhamdulillah sinovac tidak ada efek samping buat tu… "
"416",1,"hingga saat ini belum ada vaksin covid yang tersedia di indonesia untuk anak di bawah tahun jubir vaksinasi covi… ","Positif","hingga saat ini belum ada vaksin covid yang tersedia di indonesia untuk anak di bawah tahun jubir vaksinasi covi… "
"417",2," cowokku punya asma udah kali vaksin sinovac dia tidak ngefek apaapa kecuali ngantuk dan laper","Positif"," cowokku punya asma udah kali vaksin sinovac dia tidak ngefek apaapa kecuali ngantuk dan laper"
"418",1," ngomong-ngomong dipikir pikir syukur juga ya indonesia vaksin utamanya dosis terbanyaknya itu sinovac melihat cerita temen yang suntik ast…","Positif"," ngomong-ngomong dipikir pikir syukur juga ya indonesia vaksin utamanya dosis terbanyaknya itu sinovac melihat cerita temen yang suntik ast…"
"419",-2,"kok dipaksa begitu sinovac efikasinya emang rendah masa negara lain tak boleh lindungi rakyatnya sendiri aneh… ","Negatif","kok dipaksa begitu sinovac efikasinya emang rendah masa negara lain tak boleh lindungi rakyatnya sendiri aneh… "
"420",2,"ayo vaksin informasi vaksin banjarmasin jadwal oktober dosis sinovac ktp umum berikut informasi … ","Positif","ayo vaksin informasi vaksin banjarmasin jadwal oktober dosis sinovac ktp umum berikut informasi … "
"421",2,"bagi yang belum vaksinasi silahkan rsud kanjuruhan kabupaten malang ada program vaksinasi covid dengan jenis vaksin sin… ","Positif","bagi yang belum vaksinasi silahkan rsud kanjuruhan kabupaten malang ada program vaksinasi covid dengan jenis vaksin sin… "
"422",1," selamat pagi pakbu ingin beanya apakah polsek mergangsannkecamatan mergangsann mengadakan vaksinasi… ","Positif"," selamat pagi pakbu ingin beanya apakah polsek mergangsannkecamatan mergangsann mengadakan vaksinasi… "
"423",3,"akhirnya vaksin juga awalnya kepengen vaksin astrazeneca tapi adanya sinovac tidak apaapa yang penting vaksin segera","Positif","akhirnya vaksin juga awalnya kepengen vaksin astrazeneca tapi adanya sinovac tidak apaapa yang penting vaksin segera"
"425",1," vaksin sinovac karena banyak kali tu makanya ngantri rame banget","Positif"," vaksin sinovac karena banyak kali tu makanya ngantri rame banget"
"426",0,"antri vaksin di dom aku antrinya lebih dibanding dufan plsss kenapaaa si susah banget vaksin sinovac di dom aku ","Netral","antri vaksin di dom aku antrinya lebih dibanding dufan plsss kenapaaa si susah banget vaksin sinovac di dom aku "
"429",0," cara kerja vaksin sinovac ","Netral"," cara kerja vaksin sinovac "
"430",1,"addition ditmpt aku tdi ada vaksin moderna dan sinovac aku baru tau kalau yang vaksin moderna dikasi paracetamol tpi ya… ","Positif","addition ditmpt aku tdi ada vaksin moderna dan sinovac aku baru tau kalau yang vaksin moderna dikasi paracetamol tpi ya… "
"431",-1,"sinovac vs moderna ","Negatif","sinovac vs moderna "
"432",1,"jenis vaksin vaksin sinovac astrazeneca pfizer dan moderna nb i cant mentioned all of types but this is terminal… ","Positif","jenis vaksin vaksin sinovac astrazeneca pfizer dan moderna nb i cant mentioned all of types but this is terminal… "
"433",1,"atau mendaftar melalui link berikut ini setelah melakukan pendaftaran dapat… ","Positif","atau mendaftar melalui link berikut ini setelah melakukan pendaftaran dapat… "
"434",2,"kami buka kesempatan untuk vaksin dosis sinovac khusus bagi warga dengan ktp sukoharjo yang sudah vaksin atau… ","Positif","kami buka kesempatan untuk vaksin dosis sinovac khusus bagi warga dengan ktp sukoharjo yang sudah vaksin atau… "
"435",1," vaksin jenis apa dalam graph ini betul ke sibu case spike sebab vaksin jenis sinovac didn… ","Positif"," vaksin jenis apa dalam graph ini betul ke sibu case spike sebab vaksin jenis sinovac didn… "
"436",0,"vaksin sinovac boleh buat umur tahun kah ada yang tau","Netral","vaksin sinovac boleh buat umur tahun kah ada yang tau"
"437",0," oalah kalah dengan orang desa kayak saya ini ya alhamdulillah sudah kali vaksin sinovac tidak ada efeknya kok biasa² aja","Netral"," oalah kalah dengan orang desa kayak saya ini ya alhamdulillah sudah kali vaksin sinovac tidak ada efeknya kok biasa² aja"
"438",-1," haha iyaa its okey tapi kayaknya kurang lebih sama lah seperti sinovac teknisnya ya kak baiklahh huhu… ","Negatif"," haha iyaa its okey tapi kayaknya kurang lebih sama lah seperti sinovac teknisnya ya kak baiklahh huhu… "
"439",-1,"butuh tolong kat mana area pj yang available untuk vaksin sinovac aritu trpaksa cancel nd dose sbb ve covid tapi… ","Negatif","butuh tolong kat mana area pj yang available untuk vaksin sinovac aritu trpaksa cancel nd dose sbb ve covid tapi… "
"442",-2,"halo sahabat rumah sakit baptis batu berikut adalah jadwal baru pesea vaksin c moderna sinovac yang ditunda pelayan… ","Negatif","halo sahabat rumah sakit baptis batu berikut adalah jadwal baru pesea vaksin c moderna sinovac yang ditunda pelayan… "
"443",-1,"rasah kakean cangkem aku asline ki ultramen tapi bar vaksin sinovac kekuatanku ilang ","Negatif","rasah kakean cangkem aku asline ki ultramen tapi bar vaksin sinovac kekuatanku ilang "
"444",0,"informasi pendaftaran vaksinasi covid di poliklinik vaksin rsud kelet melayani vaksinasi covid sinovac dan a… ","Netral","informasi pendaftaran vaksinasi covid di poliklinik vaksin rsud kelet melayani vaksinasi covid sinovac dan a… "
"445",0," ikut ayo massal oktober jenis vaksin sinovac …","Netral"," ikut ayo massal oktober jenis vaksin sinovac …"
"446",1,"telah dibuka pendaftaran vaksinasi di galeri keas studio hanafi periode oktober menggunakan jenis vaks… ","Positif","telah dibuka pendaftaran vaksinasi di galeri keas studio hanafi periode oktober menggunakan jenis vaks… "
"448",0,"informasi vaksin dosis sinovac area klaten jogj ada tidak sie","Netral","informasi vaksin dosis sinovac area klaten jogj ada tidak sie"
"449",-1,"sleman komando distrik militer sleman bekerjasama dengan aparat terkait dan stakeholder kembali melaksanak… ","Negatif","sleman komando distrik militer sleman bekerjasama dengan aparat terkait dan stakeholder kembali melaksanak… "
"450",1,"hari ini yang dibalerame dibatalin vaksinasi hanya di stadion si jalak harupat menggunakan vaksin sinovac","Positif","hari ini yang dibalerame dibatalin vaksinasi hanya di stadion si jalak harupat menggunakan vaksin sinovac"
"451",-2," gapapa kok aku dulu sampai hampir dua bulan baru vaksin kedua sinovac","Negatif"," gapapa kok aku dulu sampai hampir dua bulan baru vaksin kedua sinovac"
"452",0,"jadwal daftar pesea vaksin sinovac di polres magelang hari ini ","Netral","jadwal daftar pesea vaksin sinovac di polres magelang hari ini "
"453",0,"say mau vaksin kedua sinovac tapi udah hari itu gppa","Netral","say mau vaksin kedua sinovac tapi udah hari itu gppa"
"454",2," ini jumlah dosis yang sudah diadministrasikan di amerika dan inggris bayang berapa untungnya farmasi untuk vaksin berba…","Positif"," ini jumlah dosis yang sudah diadministrasikan di amerika dan inggris bayang berapa untungnya farmasi untuk vaksin berba…"
"455",-1," aku vaksin sinovac cuma jadi ngantuk aja engga pegal atau demam","Negatif"," aku vaksin sinovac cuma jadi ngantuk aja engga pegal atau demam"
"456",0," aku vaksin sinovac efeknya cuma pegal aja sih","Netral"," aku vaksin sinovac efeknya cuma pegal aja sih"
"457",0," aslinya dari p…","Netral"," aslinya dari p…"
"458",1," vaksin sinovac selamat untuk kanakkanak ","Positif"," vaksin sinovac selamat untuk kanakkanak "
"459",1,"vaksin sinovac selamat untuk kanakkanak ","Positif","vaksin sinovac selamat untuk kanakkanak "
"460",5," sinovac kalau kamu lum vaksin lebih cepat lebih baik nder ikut ajaa vaksin apa ajaa yang penting vaksin ","Positif"," sinovac kalau kamu lum vaksin lebih cepat lebih baik nder ikut ajaa vaksin apa ajaa yang penting vaksin "
"461",-2," aku pakai sinovac kalau sinovac nnti ada booster lagi nder karena kali suntik efektinya cuma sdgkan pfiz… ","Negatif"," aku pakai sinovac kalau sinovac nnti ada booster lagi nder karena kali suntik efektinya cuma sdgkan pfiz… "
"462",4,"apresiasi antusiasme masyarakat akan vaksin presiden joko widodo tinjau pelaksanaan vaksin massal di sorong… ","Positif","apresiasi antusiasme masyarakat akan vaksin presiden joko widodo tinjau pelaksanaan vaksin massal di sorong… "
"463",-1,"dosis penuh jenis vaksin semoga akur ya sinovac sama pfizer di dalem sana jangan ikutan perang politik","Negatif","dosis penuh jenis vaksin semoga akur ya sinovac sama pfizer di dalem sana jangan ikutan perang politik"
"464",1," brand test kit tak sama contoh test kit a boleh detect spike protein test kit b bole… ","Positif"," brand test kit tak sama contoh test kit a boleh detect spike protein test kit b bole… "
"465",0,"anggota koramil kaligesing kodim purworejo serma wahyudi melaksanakan monitorng pemberian vaksin sinovac di… ","Netral","anggota koramil kaligesing kodim purworejo serma wahyudi melaksanakan monitorng pemberian vaksin sinovac di… "
"466",1," kalausinovac jaraknya satu bulan nder itu aku vaksin tanggal bulan september terus di suratnya ditul… ","Positif"," kalausinovac jaraknya satu bulan nder itu aku vaksin tanggal bulan september terus di suratnya ditul… "
"467",0," dapetnya vaksin apa kalau sinovac itu hari kalau astrazeneca bulan","Netral"," dapetnya vaksin apa kalau sinovac itu hari kalau astrazeneca bulan"
"468",0," kalaukamu vaksinnya sinovac jaraknya bulan atau lebih untuk vaksin astrazeneca bulan boleh kok lebih ada… ","Netral"," kalaukamu vaksinnya sinovac jaraknya bulan atau lebih untuk vaksin astrazeneca bulan boleh kok lebih ada… "
"469",1," coba kamu cek jenis vaksinnya siapa tau beda dan dapatnya yang durasinya lebih cepat soalnya… ","Positif"," coba kamu cek jenis vaksinnya siapa tau beda dan dapatnya yang durasinya lebih cepat soalnya… "
"470",-1," emang boleh vaksin ulang kalausetauku sinovac bulanan kalauastrazeneca itu bulan","Negatif"," emang boleh vaksin ulang kalausetauku sinovac bulanan kalauastrazeneca itu bulan"
"471",1," tidak boleh nder ngulang lagi dari vaksin kalauvaksinnya sinovac katanya jrk bulan sudah boleh vaksin k… ","Positif"," tidak boleh nder ngulang lagi dari vaksin kalauvaksinnya sinovac katanya jrk bulan sudah boleh vaksin k… "
"472",-1," setau aku kalausinovac emang ringan gejala nya kalauastrazeneca agak keras temen temen aku di kampus … ","Negatif"," setau aku kalausinovac emang ringan gejala nya kalauastrazeneca agak keras temen temen aku di kampus … "
"473",0," min yang arab saudi visa turis bisa tapi tidak untuk wni indonesia masih kena travel ban dari arab saudi… ","Netral"," min yang arab saudi visa turis bisa tapi tidak untuk wni indonesia masih kena travel ban dari arab saudi… "
"475",-1," nanya dong katanya kalau udah dosis sinovac bakalan disuruh lagi vaksin dosis yang moderna bingung banget","Negatif"," nanya dong katanya kalau udah dosis sinovac bakalan disuruh lagi vaksin dosis yang moderna bingung banget"
"477",-3,"gua ikut vaksin kedua di sekolah aja ya lagian sinovac efek samping nya tidak terlalu sakit","Negatif","gua ikut vaksin kedua di sekolah aja ya lagian sinovac efek samping nya tidak terlalu sakit"
"478",1," memang ini pearuhan jenius yang tim diplomasi kita secara longterm ternyata jauh lebih baik daripada m…","Positif"," memang ini pearuhan jenius yang tim diplomasi kita secara longterm ternyata jauh lebih baik daripada m…"
"479",-5," sinovac gua mah di tempat gua pada sinovac kalauastrazeneca z pada tidak mau kurang mantep sih katanya tap… ","Negatif"," sinovac gua mah di tempat gua pada sinovac kalauastrazeneca z pada tidak mau kurang mantep sih katanya tap… "
"482",-1,"“vaksin tidak kurang enggak ada masalah” tanya presiden “stok vaksin kami cukup bapak stok saat ini tersisa … ","Negatif","“vaksin tidak kurang enggak ada masalah” tanya presiden “stok vaksin kami cukup bapak stok saat ini tersisa … "
"483",0,"vaksin sinovac juli berai nanti sekitar akhir oktober mungkin kudu nyari informasi vaksin yang ketiga","Netral","vaksin sinovac juli berai nanti sekitar akhir oktober mungkin kudu nyari informasi vaksin yang ketiga"
"486",0," anak saya sudah vaksin lengkap sinovac sekarang dia perlu vaksin pfizer atau moderna untuk memenuhi syarat s… ","Netral"," anak saya sudah vaksin lengkap sinovac sekarang dia perlu vaksin pfizer atau moderna untuk memenuhi syarat s… "
"487",-2," sinovac mulai tidak laku nih romannya makanya sang juragan nakutin dunia dengan pakai isu mutasi varian baru huahahaha ah terminal…","Negatif"," sinovac mulai tidak laku nih romannya makanya sang juragan nakutin dunia dengan pakai isu mutasi varian baru huahahaha ah terminal…"
"488",-1," sinovac beb aku setelah d vaksin tidak nefek apa jangan aku mati rasa ","Negatif"," sinovac beb aku setelah d vaksin tidak nefek apa jangan aku mati rasa "
"489",2," memang sinovac ini ngefek banget buat yang gamau vaksin karena tuntutan vaksin buat mobilitas mau tidak mau vaksin dan…","Positif"," memang sinovac ini ngefek banget buat yang gamau vaksin karena tuntutan vaksin buat mobilitas mau tidak mau vaksin dan…"
"490",-1,"informasi jadwal vaksin covid sinovac dosis dan di garut terbuka untuk umum ","Negatif","informasi jadwal vaksin covid sinovac dosis dan di garut terbuka untuk umum "
"491",0," besok yang mau vaksin ktp kabupaten bandung ke stadion si jalak harupat aja ya gaiss dosis pakai sinovac","Netral"," besok yang mau vaksin ktp kabupaten bandung ke stadion si jalak harupat aja ya gaiss dosis pakai sinovac"
"492",-2," ya wes lah tidak usah vaksin mau pakai pfizer kok mrna juga ngeri sinovac tidak boleh buat alergi terminal… ","Negatif"," ya wes lah tidak usah vaksin mau pakai pfizer kok mrna juga ngeri sinovac tidak boleh buat alergi terminal… "
"493",1," padahal salah satu faktor penting vaksin tuh distribusinya yang cepat sepei halnya sinovac bukan adu apa… ","Positif"," padahal salah satu faktor penting vaksin tuh distribusinya yang cepat sepei halnya sinovac bukan adu apa… "
"495",0," buat yang mau vaksin sinovac bisa datang ke koramil tangerang bawa copy ktp dari pagisiang","Netral"," buat yang mau vaksin sinovac bisa datang ke koramil tangerang bawa copy ktp dari pagisiang"
"496",0,"vaksinasi merdeka serentak pesantren dan rumah ibadah dilaksanakan pada hari selasa tanggal oktober ber… ","Netral","vaksinasi merdeka serentak pesantren dan rumah ibadah dilaksanakan pada hari selasa tanggal oktober ber… "
"497",0,"bisanya vaksin peama sinovac keduanya astrazeneca","Netral","bisanya vaksin peama sinovac keduanya astrazeneca"
"498",-2," bisa asal jenis vaksinnya sama kalauvaksin peama sinovac yang kdua juga harus sinovac","Negatif"," bisa asal jenis vaksinnya sama kalauvaksin peama sinovac yang kdua juga harus sinovac"
"499",-1," sinovac katanyaa nih akhirnya sih meg berkat se kemenkes kalautidak perlu nunggu bulan akhirnya setel… ","Negatif"," sinovac katanyaa nih akhirnya sih meg berkat se kemenkes kalautidak perlu nunggu bulan akhirnya setel… "
"501",0,"besok yang mau vaksin ktp kabupaten bandung ke stadion si jalak harupat aja ya gaiss dosis pakai sinovac","Netral","besok yang mau vaksin ktp kabupaten bandung ke stadion si jalak harupat aja ya gaiss dosis pakai sinovac"
"503",1,"bhabinkamtibmas kalurahan ngawu bripka prima di dampingi kanit provost aiptu parjiman pemantauan vaksinasi di upt… ","Positif","bhabinkamtibmas kalurahan ngawu bripka prima di dampingi kanit provost aiptu parjiman pemantauan vaksinasi di upt… "
"505",-2," kalaudi tempatku di sini emang cuma sedikit kebanyakan sinovac moderna baru satu kali diadain massal… ","Negatif"," kalaudi tempatku di sini emang cuma sedikit kebanyakan sinovac moderna baru satu kali diadain massal… "
"506",-1," iya ih wow susah tadi aja tetangga aku vaksin dapatnya sinovac juga","Negatif"," iya ih wow susah tadi aja tetangga aku vaksin dapatnya sinovac juga"
