"","X","klasifikasi","x"
"333",488,"Negatif","sinovac beb d vaksin tidak nefek jangan mati"
"334",146,"Negatif","hahaha salah judul mah pemerintah sediain sinovac tidak pakai sinovac h"
"335",854,"Negatif","guna vaksin sinovac golong remaja umur benar kp kesihatan"
"336",1139,"Netral","vaksin sinovac lulus remaja usia via"
"337",1082,"Positif","sumpah vaksin sd sakit vaksin sd vaksin demam pas vaksin"
"338",1383,"Positif","yoben vaksin ee sinovac seivikat"
"339",1317,"Negatif","kena covid mas komorbid jantung stroke alhamdulilah baikb"
"340",1336,"Negatif","who belanda khusus aku vaksin sinovac seifikat dapat warga indonesia"
"341",1078,"Positif","pemerintah arab saudi aku guna vaksin sinovac jamaah umroh indonesia"
"342",745,"Negatif","vaksin jenis masuk korea ndak karantina kyknya bukan sinovac deh"
"343",1007,"Positif","mas bbbrp jurnal neger bahas efektifitas vaksin trhdp varian delta bagus mod"
"344",841,"Negatif","tim riset indonesia efikasi vaksin covid sinovac turun persen"
"345",1239,"Positif","informasi jadwal lokasi vaksin sinovac garut gratis"
"346",370,"Positif","kalausinovac sih laki pas vaksin ny telat minggu tidak kalaubelom jadwal vaksin tidak"
"347",862,"Netral","vaksin covid sinovac buat tiongkok remaja usia lengkap"
"348",145,"Negatif","vaksinasi dosis drive thru fk kmk ugm gelar komando distrik militer sleman bekerjasama d"
"349",448,"Netral","informasi vaksin dosis sinovac area klaten jogj tidak sie"
"350",1319,"Netral","wkwkw udahh vaksin sinovac suruh moderna nunggu kesiap hati"
"351",615,"Negatif","pfizer cominay sinovac coronavac ikut media kanada tidak nama v"
"352",1459,"Negatif","efek vaksin sinovac pusing mata kabur gtuagak pegal lebam bekas suntik kasi makan mual d"
"353",308,"Netral","gratis dosis vaksin covid sinovac bandung"
"354",492,"Negatif","wes tidak vaksin pakai pfizer mrna ngeri sinovac tidak alergi terminal"
"355",1332,"Netral","informasi vaksin dosis sinovac bekas"
"356",963,"Netral","bhabinkamtibmas lurah purwokinanti polsek pakualaman aipda sujiman laksana mantu"
"357",19,"Positif","vaksin sinovac dosis alami ayok bagi vaksin"
"358",1168,"Netral","lokasi vaksin covid sinovac gratis solo"
"359",888,"Netral","tidak napsu makan om abis vaksin sinovac dosis ny masuk anginperut asa kenyanv hbis maksi"
"360",162,"Negatif","vaksin habis covid belum genap gapapa karawang available sinovac yowis"
"361",138,"Netral","datang vaksin sinovac bandara intl supadio jakaa bawa gudang dinkes propinsi kalbar"
"362",1292,"Positif","usia kena covid alhamdulillah pulih"
"363",735,"Positif","solidaritas vaksin psi kota depok vaksin sinovac dosis syarat warga indonesia bawa foto copy ktp"
"364",1179,"Negatif","sinovac dosis ajar smk dukuhturi suntik vaksin covid"
"365",872,"Negatif","kaaak wkwk vaksin nya sinovac nakespro ditambahin kaaak wkwk"
"366",1460,"Positif","habis vaksin sinovac dosis nunggu panggil perawatbuka twitter langsung baca im screamiìiiiiing acto"
"367",747,"Netral","bah udah dapet booster moderna st nd nya pakai sinovac dianggep udah vaksin belum"
"368",1348,"Negatif","pfizer doang dipake indonesia sinovac astrazeneca beahannya"
"369",248,"Negatif","tahap pemerintah datang juta dosis vaksin covid sinovac"
"370",1000,"Netral","wes dasare mageran tambah vaksin sinovac"
"371",502,"Netral","serius pakai astramoderna efek kaya en vaksin dapetnya sinovac tidak efek samping apa"
"372",557,"Negatif","vaksin sinovac gel"
"373",109,"Positif","benar temenmu kalausudah vaksin pakai sinovac tidak move vaksin"
"374",660,"Netral","informasi vaksin sinovac bogor puskesmas cijujung kuota orang"
"375",766,"Positif","efektif sinovac guru guru vaksin booster"
"376",1285,"Negatif","titik lokasi laksana vaksin covid bogor puskesmas pasar rebo pakai sinovac pfizer"
"377",274,"Positif","kes patient st dosis sinovac nk tukar vaksin sbb post vaksin kena salmonella tgk kes xperlu tukar"
"378",1208,"Negatif","vaksin dosis done dosis sinovac dosis covid alami dosis moderna iship im comingggg"
"379",1367,"Positif","raja bangun pelan strategik bangun vaksin negara umum perdana menteri"
"380",328,"Positif","indonesia terima juta dosis vaksin dukung r sinovac"
"381",1154,"Netral","teknoloji mrna punya kesan samping kuat suai golong komorbiditi sinovac l"
"382",1268,"Netral","vaksin sinovac"
"383",786,"Negatif","daftar vaksin sinovac klinik polresta bandung silah klik link bawah"
"384",680,"Netral","jenis vaksin indonesia sinovac astrazeneca zeneca moderna pfizer"
"385",651,"Positif","eh iya vaksin astrazeneca sakit untung sinovac tidak napa"
"386",874,"Negatif","dosis sinovac telat kynya lihat jadwal bulan kak gila yah tidak jenis"
"387",728,"Negatif","udahhsyukur nyaa tidak efek tang bekas vaksin rada nyeri ngomong ngomong p"
"388",1040,"Positif","ktp ku wonosobo vaksin nng depok sinovac seifikat aman"
"389",1119,"Netral","sinovac vaksin nama sinopec mav jangan gas newbie"
"390",1306,"Negatif","suami tmn vaksin sinovac lengkap kena covid tinggal"
"391",119,"Positif","vaksin sinovac kali tidak efek samping samsek i guess i could call myself lucky parno asa tidak vaksin"
"392",1048,"Negatif","ku demam vaksin dosis ama kalauaku pakai sinovac tidak efek pas dosis ama"
"393",1454,"Positif","vaksin pfizer astrazeneca wilayah mustika jaya sini puskesmas mustika jaya sedia v"
"394",1341,"Netral","program tni al wakil komando lintas laut militer kolinlamil sedia vaksin sinovac"
"395",464,"Positif","brand test kit contoh test kit a detect spike protein test kit b bole"
"396",1397,"Positif","serbu vaksinasi kodim pati wilayah koramil juwana capai vaksin jenis sinovac b"
"397",507,"Netral","umi mo prgi tidak vaksin sinovac ganerima moderna"
"398",668,"Netral","vaksin sinovac bandara juanda surabaya dosis kuota dosis daftar link online"
"399",913,"Netral","tidak ngantri ngambil formulir na vaksin sinovac gataunya astrazeneca"
"400",787,"Positif","rahmad dorong vaksin jenis sinovac aku who"
"401",928,"Netral","informasi vaksin sinovac bekas timur"
"402",1333,"Positif","surat edar hki kemenkes vaksinasi dosis tiga nakes gu"
"403",1042,"Negatif","australia buka pintu lancong lengkap vaksin sinovac astrazeneca austra"
"404",1388,"Positif","iyasih astrazeneca rem kantor vaksin astrazeneca jatah libur hari sinovac budak haha"
"405",577,"Netral","coronavac vaksin sinovac vaksin sekolah soalnyaa"
"406",31,"Positif","vaksin pasti jenis vaksin sinovaccorona vac jarak vaksin ama vaksin"
"407",528,"Netral","lanjut informasi vaksin ciwalk udah bannernya instagram vaksin pakai sinovac pakai"
"408",289,"Negatif","butuh tolong kat area pj available vaksin sinovac aritu trpaksa cancel nd dose sbb ve covid smpai skr"
"409",1345,"Positif","beempat puskesmas batang kabupaten pati laksana serbu vaksinasi dosis vaksin sinovac k"
"410",1362,"Netral","belum tingkat bor ind"
"411",1140,"Netral","personil polsek cimanggis ayan lansia suntik vaksin sinovac"
"412",826,"Negatif","rausah kakean cangkem asline ki ultramantapi bar vaksin sinovac kuat ilang"
"413",1256,"Positif","vaksin besuk bebas non domisili sinovac"
"414",568,"Positif","pharmaniaga had jamin bapa bahawa vaksin covid sinovac kanakkanak"
"415",334,"Netral","sinovac vaksin ama lengan bekas vaksin pegal doang vaksin tidak efek samsek"
"416",1375,"Positif","akang teteh sadayana punten informasi vaksin dosis ktp nya bukan bandung mana yah"
"417",1122,"Positif","vaksinasi psi kota depok solidaritas vaksin psi kota depok vaksin sinovac dosis syarat warga indonesia"
"418",623,"Netral","total kuota vaksin siap titik vaksin jenis sinovac arismawati wakil"
"419",210,"Positif","selamat jadwal vaksinasi covid dosis sedhereksedherek vaksin dosis pe"
"420",175,"Netral","agam jenis vaksin covid indonesia sinovac moderna astrazeneca shinopharm pfizer"
"421",1146,"Netral","kkm lulus vaksin sinovac remaja via"
"422",1130,"Netral","ketua arah kesihatan noor hisham abdullah vaksin covid lulus p"
"423",276,"Positif","buka daftar vaksinasi galeri as studio hanafi periode jenis vaksin sinovac"
"424",1,"Netral","gor dosis kuota dosis juanda terminal sinov"
"425",1114,"Negatif","problem immigration policynya saudi kang utama jab sinovac h"
"426",910,"Netral","sinovac vaksin"
"427",915,"Positif","sedia pesea jenis vaksin sinovac dosis dosis lohhh buka"
"428",122,"Netral","warga singapura ramairamai pilih sinovac sinopharm vaksin booster"
"429",1112,"Positif","menteri sehat malaysia menyetujui guna syarat vaksin covid buat sinovac china anak"
"430",908,"Negatif","nenek darah umur udah alhamdulilah after vaksin gapapa ko nder pakai vaksin sinovac"
"431",725,"Netral","vaksin sinovac dosis gedung tppkk syarat jadwal cp cek foto"
"432",86,"Negatif","vaksin covid izin guna darurat who pfizerbiontech astrazeneca jampj moder"
"433",243,"Positif","dok pasang ring udah stabil tensi udah vaksin c"
"434",717,"Netral","hahahah kmren ditawarin bilang maksude vaksin sinovac maneh peng opo w"
"435",894,"Negatif","gws elnim vaksin ama demam ngomong ngomong vaksin astrazen sinovac"
"436",100,"Negatif","tetangga pekan vaksin dosia sinovac alami dengkul lemas tidak nafsu makan mual kalaumakan"
"437",661,"Netral","vaksin adh masuk indonesia sinovac sinopharm astrazeneca modena pfizer teman"
"438",278,"Netral","yassss vaksin selese anjay sinovac kaga efek samping uhuy moga"
"439",344,"Negatif","lisa pke vaksin sinovac kayak tidak bsa terbang neger"
"440",359,"Positif","rangka ingat hut tni tni bais badan intelijen strategis gelontor vaksin jenis s"
"441",815,"Positif","gratis tidak non sinovac kali vaksin aman kemanamana gratis kaum sinovac kali vaksin belum aman kemanam"
"442",980,"Netral","temenku asma flek paru vaksin sinovac aman smpe badan seger"
"443",585,"Negatif","rem sender giring opini kalauselain sinovac seram apa vaksin baik"
"444",630,"Netral","bep dapet vaksin moderna sinovac"
"445",137,"Positif","laksana vaksinasi kodim pati jenis vaksin sinovac puskesmas tambakromo sasar vaksin i"
"446",288,"Negatif","kalauadanya daerah sinovac marah en daftar kota"
"447",1064,"Positif","siswa sman sragen jalan vaksinasi covid vaksinasi laksana"
"448",38,"Positif","pemerintah rakyat vaksin sinovac vaksin tidak berlaku mana"
"449",1432,"Positif","serbu vaksinasi gencar kodim bone denkesyah bone kali sasar sman"
"450",81,"Positif","stok vaksin stok sisa dosis vaksin sinovac sinopharm"
"451",1422,"Netral","pgb ngadain sept vaksin sinovac"
"452",407,"Netral","vaksin nya sinovac kalaudi sih nder"
"453",144,"Positif","alhamdulillah pfizer sebenernya apa vaksin tidak"
"454",53,"Negatif","vaksin dosis jenis sinovac hadir untuk mahasiswa umy alumni umy ajar masyarakat"
"455",499,"Negatif","sinovac katanyaa sih meg berkat kemenkes kalautidak nunggu setel"
"456",1024,"Negatif","perbezaan mati akibat covid terima vaksin astrazeneca pfizer sinovac mati a"
"457",1378,"Netral","emang vaksin beda beda ngasihnya sinovac iya efek pegal tang nyut nyut"
"458",1257,"Positif","arab saudi tidak terima suntik vaksin sinovac"
"459",1163,"Positif","attention korang yassss its resmi vaksin sinovac kat remaja umur"
"460",1196,"Negatif","wow lepas gomen approved sinovac budak orang booking beli vaksin anak"
"461",1406,"Positif","informasi vaksin dosis astrazeneca tidak istri vaksin ama poltekesyo"
"462",791,"Positif","perlahan bukan vaksin astrazeneca rana kadar vaksin dosis ama lepas padar k"
"463",1234,"Negatif","sinovac udah langsung belum seifikat vaksin nya"
"464",982,"Negatif","rasang kakean cangkemasline ki ultramentapi bar vaksin sinovac kuat ku ilang"
"465",489,"Positif","sinovac ngefek banget gamau vaksin tuntut vaksin mobilitas tidak vaksin"
"466",710,"Positif","pakai vaksin eza pakai sinovac pas vaksin tidak sakit vaksin m"
"467",1347,"Positif","gantung vaksin nya apaa sih kalausinovac iya wkwkw ngantuk laper"
"468",283,"Positif","layan vaksinasi vaksin sinovac dosis dosis kuota p"
"469",186,"Negatif","enam jenis vaksin masuk indonesia sinovac efikasi a"
"470",1457,"Positif","review vaksin sinovac tidak kaya banyak orang abis vaksin laper tang bekas suntik nya sakit terminal"
"471",578,"Netral","luas populasi kategori umur china tidak rekod meng"
"472",1396,"Netral","dok mohon saran selesai vaksin sinovac konsumsi fluoxetetine"
"473",164,"Netral","udah vaksin sinovac"
"474",850,"Positif","emak al mama vaksin emak sintas covid blon vaksin daftarin jaki car"
"475",1216,"Positif","bgr vaksinasi grastis warga bogor daftar online langsung dosis khu"
"476",889,"Negatif","vaksin sinovac tidak mubazir nidom sar evaluasi efektif v"
"477",659,"Positif","vaksin astrazeneca efek sinovaclapar ngantuk meriang esok hari itu"
"478",1390,"Positif","hallo kuys belum vaksin lho vaksin rumah sakit uns dosis"
"479",767,"Negatif","anak belanda tidak vaksin sinovac xbukti autentik"
"480",321,"Positif","informasi vaksinasi setiajaya toyota cimanggis depok periode jenis vaksin sinovac"
"481",148,"Netral","mohon informasi vaksin dosis sinovac gaa kalauada informasi mana"
"482",323,"Netral","wagub inga inga efektif sinovac guru guru mendap"
"483",322,"Positif","ayo hadir gerai vaksin tni polri laksana w"
"484",1129,"Netral","alhamdulilah vaksin sinovac kali"
"485",8,"Negatif","vaksin sinovac alergi kambuh bersin bidur mata gatel eksim kambuh"
"486",740,"Positif","dapet moderna nder coba kaya surat faskes vaksin vaksin jenis in"
"487",724,"Netral","update informasi vaksin sinovac pfizer dosis bogor kuota orang"
"488",406,"Negatif","untuk tni nyuntikin vaksin sinovac set mo bilang bapak made my"
"489",929,"Netral","kmaren mintain surat rekomen jantung vaksin ibu takut e"
"490",540,"Positif","besea keluarga vaksin sinovac usia"
"491",290,"Negatif","kmarin takut efek vaksin sinovac gamau vaksin skrang pakai sinovac dikatain mau ap"
"492",287,"Negatif","kalauvaksin tu mending sinovac pzjehtjwkfjwjdjs sih"
"493",247,"Positif","stok vaksin stok sisa dosis vaksin sinovac sinopharm wak"
"494",49,"Negatif","gimana kalaumau negri vaksin sinovac negar"
"495",589,"Positif","pegal doang sih nder sinovac efek samping ringan vaksin sehat nya j"
"496",1030,"Positif","gelombang tiga profit taking vaksin bayar tidak gratis sinovac rb murah ban"
"497",699,"Positif","iyaa moga cepat sembuh alergi biar cepat vaksin oalah bri pakai sinovac"
"498",1233,"Netral","kkm lulus vaksin sinovac remaja"
"499",246,"Positif","vaksin ama sinovac dosis ayo rek vaksinasi drive thru stadio"
"500",506,"Negatif","iya ih wow susah tetangga vaksin dapat sinovac"
"501",714,"Negatif","sih nder pas vaksin sinovac demam minggu"
"502",561,"Positif","vaksin sinovac kanakkanak remaja selamat juta dosis rakya"
"503",199,"Positif","sentra vaksin binplaz puskesmas betung layan dosis jenis vaksin sinovac"
"504",924,"Netral","produk sinovac jenis vaksin covid lulus raja malaysia guna golong"
"505",1076,"Positif","validasi sinovac who bukti vaksin aman ruji mutu vaksin pulih nusantara"
"506",12,"Positif","malam ambil vaksin sinovac suami alhamdulillah rsa okay jedoakan sihat moga vaksin penawar"
"507",555,"Positif","pharmaniaga had jamin bapa bahawa vaksin covid sinovac kanakkanak remaja"
"508",296,"Negatif","via vaksin covid kampus untag sinovac dosis gedung pkk pfizer dosis"
"509",498,"Negatif","jenis vaksin kalauvaksin ama sinovac kdua sinovac"
"510",320,"Netral","habis vaksin sinovac gebuk gelora"
"511",1132,"Negatif","sing vaksin e sinovac ra sok keraskyo ngene loh astreav"
"512",468,"Netral","kalaukamu vaksin sinovac jarak vaksin astrazeneca"
"513",472,"Negatif","tau kalausinovac emang ringan gejala nya kalauastrazeneca keras temen temen kampus"
"514",1081,"Positif","asma vaksin ka asma bbrp sempet kumat kon"
"515",1264,"Netral","whatttt orang taiwan china gamau sinovacpiye iki makasih ka"
"516",1327,"Negatif","malaysia bekerjasama syarikat bangun vaksin covid cansino sinovac bangun vaks"
"517",1429,"Negatif","negara mula keluar vaksin covid bangun sinovac"
"518",1353,"Netral","berat yah minum air putih anyta dengar vaksin sinovac terminal"
"519",1329,"Negatif","kena covid mas komorbid jantung stroke alhamdulila"
"520",1131,"Negatif","upaya pemerintah tanggulang pandemi covid distribusi vaksin sinovac titik"
"521",640,"Netral","tidak vaksin sinovac ama daerah jakbar mana bapak nyari astrazeneca pfizer bapa"
"522",1255,"Negatif","guna vaksin sinovac golong remaja umur benar"
"523",581,"Netral","hahaha inget talk shit about sinovac like tidak tidak"
"524",1418,"Positif","vaksin ama cari tidak klinik"
"525",339,"Netral","efektif sinovac guru guru jakaa"
"526",1074,"Netral","adik ku ngatain lemah demam pasca vaksin vaksin tidak napa anj beda vaksin"
"527",667,"Negatif","eropa tidak temen kantor gagal visa vaksin sinovac"
"528",434,"Positif","buka sempat vaksin dosis sinovac khusus warga ktp sukoharjo vaksin"
"529",1094,"Netral","minimal vaksin astrazeneca moderna kalauvaksinnya sinovac skip"
"530",1456,"Negatif","coronavac vaksin corona sinovac moderna astrazeneca sinopharm dll"
"531",398,"Negatif","vaksin dosis astrazeneca sinovac"
"532",390,"Positif","informasi vaksin gratis kota palangkaraya kalimantan sinovac"
"533",347,"Netral","butuh vaksin dosis astrazeneca sinovac langsung"
"534",108,"Negatif","sih nder kalauvaksin udah jenis sinovac vaksin nya sinovac bukan"
"535",687,"Positif","harih vaksin teman palangka raya kirim foto terima vaksinasi"
"536",1224,"Netral","mb docni rame d paksa vaksingmn mb doc bsok jdwal vaksi data sruh ngisi"
"537",584,"Positif","supposed hotline dapat informasi number reach lahluar"
"538",1230,"Netral","ayo vaksin moderna dosis astrazeneca dosis sinovac dosis biddokkes polda kepri kepri"
"539",1009,"Netral","lur informasi vaksin dosis kah isi sinovac makasih"
"540",838,"Netral","rumah dosis vaksin steady simptom kecuali ama mak am"
"541",1172,"Positif","anak udah tiket vaksin app tidak mana vaksin nya cek nya d"
"542",774,"Positif","hallo warga taman sari sehat jadwal vaksin sinovac kantor rw mabes lapang ums"
"543",882,"Netral","aneh sinovac aman anak sekolah vaksin sinovac ngomong ngomong minum obat tidak"
"544",1328,"Negatif","vaksin sinovac sok keras astrazeneca bos senggol"
"545",476,"Netral","vaksin sinovac muhi coba cek barangkali kuota tutup daftar"
"546",884,"Netral","vaksin ama dosis sinovac umur umur say"
"547",1295,"Positif","sayang skli tidak join babeh aldo behsdh tanyakah bhw jk vaksin"
"548",733,"Positif","tidak uk tau hajiumroh minimal vaksin nya astrazeneca k"
"549",56,"Positif","malaysia terima bekal ama vaksin coronavac liter hantar terminal"
"550",672,"Positif","belum malaysia banding efektivitas vaksin sinovac pfizer vaksin astrazeneca hasil"
"551",707,"Netral","samaa hr vaksin sinovac"
"552",869,"Negatif","sinovac pas vaksin fit parah deh saran"
"553",1169,"Negatif","juru bicara vaksinasi covid siti nadia tarmizi tanggap isu turun efikasi vaksin sinovac p"
"554",340,"Netral","vaksinasi massal covid ajar smp s a masyarakat porseapelaksanakan suntik vaksin"
"555",58,"Positif","orangorang kalauvaksin sinovac efek ngantuk makan mulu lohhh tidak bedain efek vaksin a"
"556",234,"Positif","vaksin sinovac vaksin pas vaksin massal bagi kaga milih"
"557",1053,"Positif","hooh mknya tidak vaksin astrazeneca pindah sinovac alhamdulillah tidak cmn pegal ditgn pas"
"558",179,"Positif","tidak pilih vaksin gaes dapet sinovac benar bantu kena cov yug"
"559",180,"Positif","informasi vaksinasi covid reposted from usia jenis vaksin astrazeneca usia th jenis v"
"560",301,"Netral","efektif efek samping takut"
"561",169,"Negatif","rasah kakean cangkem asline ki ultramen bar vaksin sinovac kuat ku ilang"
"562",456,"Netral","vaksin sinovac efek pegal sih"
"563",264,"Positif","vaksin pfizer asa banget gel banding vaksin sinovac"
"564",1287,"Negatif","update informasi vaksin covid bogor puskesmas leuwisadeng pakai sinovac"
"565",348,"Netral","vaksinasi tahap satu vaksin jenis sinovac orang ikut orang karena"
"566",1298,"Netral","vaksin sinovac suntik warga pakai astrazaneca"
"567",802,"Netral","i complete dose vaksin sinovac then on ve that time my condition ge"
"568",643,"Positif","sinovac kak benar tidak pilah pilih vaksin dukung sabang merauke"
"569",147,"Netral","dapetnya sinovac beda vaksin sih"
"570",716,"Positif","kapolsek mojolaban pimpin aman vaksinasi massal gerai vaksin presisi gedung blk bekonang camat mojolaban"
"571",805,"Negatif","tim riset indonesia efikasi vaksin covid sinovac turun persen beri boo"
"572",797,"Positif","coba puskesmas nder vaksin daerah astraz sinovac bawa"
"573",71,"Positif","vaksin ama astrazeneca pas vaksin lupa pas suster sinovac iya"
"574",7,"Netral","gor dosis kuota dosis juanda terminal"
"575",744,"Positif","vaksin bagus gaboleh milih dose sinovac dose"
"576",1209,"Negatif","update vaksin covid bogor sinovac dosis puskesmas nanggung anak usia"
"577",669,"Netral","vaksin bagi sinovac suami astrazeneca zenneca tante ku manula pfizer adek pupu"
"578",369,"Netral","daftar vaksin sinovac klinik polresta bandung jlbhayangkara soreang silahka"
"579",463,"Negatif","dosis penuh jenis vaksin moga akur sinovac pfizer dalem jangan ikut perang politik"
"580",803,"Negatif","pas banget sinovac pas h suntik hahahihi eh minggu muncul"
"581",709,"Negatif","informasi vaksin covid bogor massal puskesmas caringin pakai pfizer sinovac"
"582",771,"Netral","tu harap hak bg sinovac klau vaksin pilih"
"583",156,"Positif","bang bon belum vaksin hasil vaksin kali sinovac hasil mea"
"584",484,"Positif","indonesia vaksin emergency use listing terbit who diperlakuk"
"585",1247,"Negatif","guna vaksin sinovac golong remaja umur benar"
"586",655,"Negatif","ragu teman informasi vaksin jenis sinovac en jenis"
"587",319,"Positif","dosis vaksin sinovac siap vaksinasi tahap ama"
"588",182,"Positif","informasi jadwal vaksin baru dosis sinovac kuota terminal bandara juanda gratis beras kg cek d"
"589",208,"Netral","jog vaksin ama nama sinovac bukan mana"
"590",1219,"Negatif","guna vaksin sinovac golong remaja umur benar kp kesihatan sumber"
"591",969,"Positif","asma ambil sinovac aman vaksin skrining sehat"
"592",479,"Negatif","sinovac mah sinovac kalauastrazeneca z tidak mantep sih tap"
"593",508,"Negatif","vaksin sinovac pas nunggu kau eh pingsan malu banget bangun bangun kerubungin orang"
"594",1313,"Netral","jarak vaksin sinovac ama sih"
"595",591,"Netral","pakai sinovac tidak asli pegal lihat bokap vaksin tiga pakai a"
"596",1376,"Netral","ynag sinovac moderna sinopharm habis ganti vaksin tidak"
"597",1195,"Negatif","efikasi vaksin sinovac indonesia turun persen persen vaksin booster jenis v"
"598",418,"Positif","ngomong ngomong pikir pikir syukur indonesia vaksin utama dosis banyak sinovac cerita temen suntik ast"
"599",157,"Positif","warga kabupaten bandung ayo vaksin ikut vaksinasi massal selenggara pemerintah kabupaten bandung"
"600",635,"Positif","tidak eropa vaksin sinovac gimana kak vaksin yakali"
"601",543,"Negatif","vaksin sinovac tidak parah"
"602",607,"Negatif","daftar nomor teera gambar vaksin dosis sinovac"
"603",47,"Netral","vaksin astrazeneca sinovac"
"604",918,"Netral","peristiwa tenaga sehat alami luka dosis vaksin sinovac rusak"
"605",255,"Netral","sinovac minimal hri vaksin k tidak"
"606",632,"Positif","vaksin sinovac besok langsung tidur hari nder asli ngantuk banget bawa"
"607",905,"Positif","lanang vaksin sinovac rak gentle banget"
"608",891,"Netral","australia buka batas traveler vaksin sinovac boleh masuk"
"609",327,"Positif","vaksin ama sinovac dosis ayo rek vaksinasi drive thru stadio"
"610",959,"Negatif","rasah kakean cangkem asline ki ultramen bar vaksin sinovac kuat ku ilang"
"611",258,"Positif","warga kabupaten bandung ayo vaksin ikut vaksinasi massal selenggara pemerintah kabupaten bandun"
"612",1259,"Negatif","guna vaksin sinovac golong remaja umur benar"
"613",341,"Netral","efektif sinovac guru guru jakaa har"
"614",1141,"Positif","hasil vaksin sinovac"
"615",457,"Netral","asli p"
"616",1045,"Positif","vaksin benar benar tidak ngaruh pakai vaksin sinovac"
"617",477,"Negatif","vaksin sekolah sinovac efek samping nya tidak sakit"
"618",863,"Netral","siswa smk yapisdah ikut vaksin sinovac danramil csk proses ptm"
"619",533,"Negatif","vaksin sinovac efek lemes banget mual kepala berat tang kiri lemah banget hu"
"620",1363,"Netral","dinkes kota kendari terima dosis vaksin sinovac buka layan"
"621",1027,"Negatif","nampaknya vaksin astrazeneca zeneca kesan awal covid kait beku darah blood clot"
"622",217,"Positif","selamat vaksin dosis sinovac sedia"
"623",265,"Positif","gratis vaksin sinovac dosis surabaya jadwal"
"624",1222,"Positif","iya benar emang efek vaksin sinovac laper"
"625",142,"Positif","anggota polsek babelan laksana aman giat program vaksinasi merdeka berani gerai wilayah polsek"
"626",151,"Negatif","hasil gambar kandung vaksin sinovac udah zoom virus bentuk gurita mati"
"627",1071,"Netral","eh zahwa no minor kaya bukan sinovac vaksin sekolah"
"628",80,"Positif","temen tolong udah vaksin sinovac ngerasa sakit dada tekan tidak"
"629",1138,"Netral","ayo besok vaksin du jenis vaksin sinovac pfizer informasi lengkap kontak yodi cc"
"630",903,"Netral","rekomendasi izin masuk ajar internasional negara sep"
"631",177,"Netral","vaksin sinovac wow"
"632",64,"Negatif","efek vaksin sinovac usaha makan minum biar tubuh bugarr malas makan"
"633",656,"Netral","butuh vaksin kota padang moderna sinovac pfizer tinggal daftar"
"634",415,"Negatif","biasakerja panas lagiaku sinovac wkwkwkallhamdulillah sinovac tidak efek samping tu"
"635",649,"Positif","abis vaksin sinovac minum kopi neng banget asa hepi banget en tawa mu"
"636",1462,"Positif","sinovac kaya dinyek level vaksin china bukan vaksin amrik yurop ala moderna pfizer pas gelombang delta"
"637",772,"Negatif","sek vaksin e sinovac rausah sok keras ngene astreav"
"638",1465,"Netral","h temen temen na vaksin jakaa barat sinovac tidak mana tlg reply thanks"
"639",227,"Netral","halo kota udah tidak nyediain vaksin sinovac udah daftar by web vaksinasitangera"
"640",627,"Netral","suntik bu dokter"
"641",211,"Negatif","vaksin inti ngelindungin covid lagipula tidak orang milih ma"
"642",1364,"Positif","babinsa koramil enrekang melaksankan emantauan laksana serbu vaksin nasional pusk"
"643",1135,"Negatif","orang tua vaksin kena covid mele"
"644",554,"Negatif","tidak sih abis vaksin sinovac badan keringet dingin mulu gemetar kirakira"
"645",1173,"Positif","yogyakaa lapas narkotika kelas iia yogyakaa gelar vaksinasi merdeka tahap giat vaksinasi covid"
"646",537,"Positif","sinovac dosis ku tang pegal banget ngantuk banget hari abis vaksin besok"
"647",1177,"Netral","jangan lupa ambil vaksin adikadik"
"648",547,"Positif","juta dosis vaksin remaja lingkung usia china p"
"649",220,"Positif","vaksin sinovac halal suci"
"650",431,"Negatif","sinovac vs moderna"
"651",820,"Positif","tahu ane vaksin expirednya cepat pakai metode pfizer"
"652",943,"Positif","salur vaksin juang wakil fraksi paai golkar komisi vii dpr republik indonesia mukhtarudin bantu progr"
"653",567,"Netral","vaksin pakai sinovac chei"
"654",469,"Positif","coba cek jenis vaksin beda dapat durasi cepat"
"655",441,"Positif","mesti daftar pedulilindungi langsung dateng vaksin s"
"656",1355,"Positif","ayo hadir gerai vaksin tni polri laksana"
"657",1436,"Positif","vaksin sinovac smp halimun seifikat belum sedia cek pedulili"
"658",1469,"Netral","h temen temen na vaksin jakaa barat sinovac tidak mana tlg reply thanks uuu"
"659",39,"Netral","cepat vaksinasi rangka penanganan covid indonesia sehat laksana kantor kapanew"
"660",45,"Negatif","rasah kakean cangkem asline ki ultramen bar vaksin sinovac kuat ku ilang kabeh"
"661",229,"Positif","masyarakat imbau tidak pilihpilih vaksin il a heures vaksin covid"
"662",285,"Netral","pakai merk vaksin ka sinovac"
"663",1413,"Negatif","informasi vaksin dosis sinovac area malang sidoarjo pasuruan surabaya"
"664",1229,"Positif","kkm bersetuju kelulus syarat guna vaksin coronavac keluar sinovac life sciences co lt"
"665",454,"Positif","dosis administrasi amerika inggris bayang untung farmasi vaksin ba"
"666",500,"Netral","belum vaksin bingung vaksin saran mending sinovac denger o"
"667",1175,"Netral","kelulus vaksin sinovac golong umur lepas mesyuarat kuasa kawala"
"668",809,"Positif","rengiat laksana vaksinasi wilayah camat tanggungharjo oktoberber"
"669",67,"Negatif","gausah dosis tempat vaksin sinovac"
