"klasifikasi","x"
"Netral","pimpin ipda edward daniel m kanit reskrim polsek kedungwaringin pkm karangsambung aparat desa"
"Positif","dosis vaksin sinovac sumut personil brimob awal"
"Positif","belum vaksin jenis vaksin sinovac"
"Netral","mohon informasi vaksin dosis sinovac area sidoarjo"
"Netral","bolehh kalauragu pending gapapa pei pas w vaksin sinovac ama tugas ngasi"
"Netral","unit binmas pimpin panit binnas aiptu parjiati babhinkamtibmas gayamharjo prambanan sleman laksana pe"
"Positif","ayo baca daftar negara izin wisatawan vaksin sinovac indonesia tidak"
"Negatif","vaksin covid kampus untag sinovac dosis gedung pkk pfizer dosis syarat jad"
"Positif","tidak vaksin k pas reddays vaksin sinovacefeknya ngantuk laper"
"Positif","vaksinasi dosis ama jenis vaksin sinovac kapolres terang"
"Positif","tetiba announce offline conce pastuuu intl gemar join kecuali vaksin sinovac je join k"
"Netral","lu vaksin pfizer sinovac doang eh under"
"Negatif","alergi berat hipeensi kolesterol alhamdulillah vaksin sinovac lengkap baik skr"
"Positif","vaksin vaksin sinovac vaksin vaksin jenis naikin lengan baju"
"Negatif","jadi nyata pupu nikah jerman orang jerman tolak vaksin sinovac lurah"
"Netral","vaksin ama dosis jenis sinovac"
"Negatif","nama vaksin kek sinovac astrazeneca"
"Positif","informasi vaksin gratis kota palangkaraya kalimantan sinovac"
"Netral","butuh vaksin dosis astrazeneca sinovac langsung"
"Positif","beempat panti sosial asuh anak psaa putra utama warga bina panti sosial bina remaja psbr terminal"
"Netral","informasi vaksin sinovac fase area pasuruan kota"
"Negatif","asma udah vaksin sinovac kali badan nyeri demam"
"Positif","kapolsek jatibarang forkopimcam monitoring laksana vaksinasi dosis i mts assysyafiiyah"
"Positif","vaksin sinovac astrazeneca moderna pfizer posko vaksinasi psi jakaa sedia empat jenis vaksin sebu"
"Negatif","vaksin dosis astrazeneca sinovac"
"Negatif","vaksin dosis astrazeneca sinovac"
"Negatif","alergi berat hipeensi kolesterol alhamdulillah vaksin sinovac lengkap baik sam"
"Positif","belum vaksin jenis vaksin sinovac"
"Negatif","iya full ikut anjuran pemerintah sinovac kak nami respon tubuh ku nyeri"
"Netral","heh informasi vaksin sinovac dosis ning kabupatenkota madiun slur"
"Positif","staf lepas tarikh suntik dosis vaksin pfizer astrazaneca sino"
"Positif","vaksin moderna tidak pilih sinovac pfizer astrazeneca booster vaksin covid a"
"Negatif","informasi vaksin malang ooo kak astrazeneca sinovac dosis informasi vaksin rumah clueless"
"Negatif","untuk tni nyuntikin vaksin sinovac set mo bilang bapak made my"
"Netral","vaksin nya sinovac kalaudi sih nder"
"Positif","vaksin jadwal camat ku belum rsud"
"Positif","sayang rumah bekas cipayung cibubur ayo vaksin sinovac astrazeneca universitas dian nusantara"
"Positif","sayang rumah bekas cipayung cibubur ayo vaksin sinovac astrazeneca universitas dian nusantara"
"Positif","benar soalny vaksin sinovac kah"
"Netral","vaksin selamat remaja bapa risau yakin anakanak k"
"Netral","patroli personil polsek jabiren raya cek aman vaksin sinovac"
"Netral","takpe vaksin sinovac campur pfizer"
"Negatif","biasakerja panas lagiaku sinovac wkwkwkallhamdulillah sinovac tidak efek samping tu"
"Positif","belum vaksin covid sedia indonesia anak jubir vaksinasi covi"
"Positif","cowok asma udah kali vaksin sinovac tidak ngefek apaapa kecuali ngantuk laper"
"Positif","ngomong ngomong pikir pikir syukur indonesia vaksin utama dosis banyak sinovac cerita temen suntik ast"
"Negatif","paksa sinovac efikasinya emang rendah negara lindung rakyat aneh"
"Positif","ayo vaksin informasi vaksin banjarmasin jadwal dosis sinovac ktp informasi"
"Positif","belum vaksinasi silah rsud kanjuruhan kabupaten malang program vaksinasi covid jenis vaksin sin"
"Positif","selamat pakbu bea polsek mergangsannkecamatan mergangsann adakan vaksinasi"
"Positif","vaksin kepengen vaksin astrazeneca sinovac tidak apaapa vaksin"
"Negatif","charm vaksin sinovac rmupah lebar ring lebar berat tidak tidak tidak tidak tidak tidak tidak"
"Positif","vaksin sinovac kali tu ngantri rame banget"
"Netral","antri vaksin dom antri banding dufan plsss kenapaaa susah banget vaksin sinovac dom"
"Netral","informasi vaksinasi covid bandung vaksin sinovac dosis"
"Negatif","cek fakta edar kabar indonesia tipu china pakai vaksin sinovac simak fakta"
"Netral","kerja vaksin sinovac"
"Positif","addition ditmpt tdi vaksin moderna sinovac vaksin moderna kasi paracetamol tpi"
"Negatif","sinovac vs moderna"
"Positif","jenis vaksin vaksin sinovac astrazeneca pfizer moderna nb i cant mentioned all of types but this is terminal"
"Positif","daftar link daftar"
"Positif","buka sempat vaksin dosis sinovac khusus warga ktp sukoharjo vaksin"
"Positif","vaksin jenis graph sibu case spike vaksin jenis sinovac didn"
"Netral","vaksin sinovac umur kah"
"Netral","oalah kalah orang desa kayak alhamdulillah kali vaksin sinovac tidak efek biasa"
"Negatif","haha iyaa its okey kayak sinovac teknis kak baiklahh huhu"
"Negatif","butuh tolong kat area pj available vaksin sinovac aritu trpaksa cancel nd dose sbb ve covid"
"Negatif","langsung rumah sakit layan vaksin kak emang datang biar d"
"Positif","mesti daftar pedulilindungi langsung dateng vaksin s"
"Negatif","halo sahabat rumah sakit baptis batu jadwal pesea vaksin c moderna sinovac tunda ayan"
"Negatif","rasah kakean cangkem asline ki ultramen bar vaksin sinovac kuat ilang"
"Netral","informasi daftar vaksinasi covid poliklinik vaksin rsud kelet layan vaksinasi covid sinovac a"
"Netral","ayo massal jenis vaksin sinovac"
"Positif","buka daftar vaksinasi galeri as studio hanafi periode jenis vaks"
"Netral","informasi link daftar jadwal vaksin dosis jenis pfizer sinovac bogor"
"Netral","informasi vaksin dosis sinovac area klaten jogj tidak sie"
"Negatif","sleman komando distrik militer sleman bekerjasama aparat kait stakeholder melaksanak"
"Positif","dibalerame dibatalin vaksinasi stadion jalak harupat vaksin sinovac"
"Negatif","gapapa vaksin sinovac"
"Netral","jadwal daftar pesea vaksin sinovac polres magelang"
"Netral","say vaksin sinovac udah gppa"
"Positif","dosis administrasi amerika inggris bayang untung farmasi vaksin ba"
"Negatif","vaksin sinovac ngantuk pegal demam"
"Netral","vaksin sinovac efek pegal sih"
"Netral","asli p"
"Positif","vaksin sinovac selamat kanakkanak"
"Positif","vaksin sinovac selamat kanakkanak"
"Positif","sinovac lum vaksin cepat baik nder ajaa vaksin ajaa vaksin"
"Negatif","pakai sinovac sinovac nnti booster nder kali suntik efektinya sdgkan pfiz"
"Positif","apresiasi antusiasme masyarakat vaksin presiden joko widodo tinjau laksana vaksin massal sorong"
"Negatif","dosis penuh jenis vaksin moga akur sinovac pfizer dalem jangan ikut perang politik"
"Positif","brand test kit contoh test kit a detect spike protein test kit b bole"
"Netral","anggota koramil kaligesing kodim purworejo serma wahyudi laksana monitorng beri vaksin sinovac"
"Positif","kalausinovac jarak nder vaksin surat ditul"
"Netral","dapetnya vaksin sinovac astrazeneca"
"Netral","kalaukamu vaksin sinovac jarak vaksin astrazeneca"
"Positif","coba cek jenis vaksin beda dapat durasi cepat"
"Negatif","emang vaksin ulang kalausetauku sinovac bulan kalauastrazeneca"
"Positif","tidak nder ngulang vaksin kalauvaksinnya sinovac jrk vaksin k"
"Negatif","tau kalausinovac emang ringan gejala nya kalauastrazeneca keras temen temen kampus"
"Netral","arab saudi visa turis tidak wni indonesia kena travel ban arab saudi"
"Negatif","bukan tu mentioned ramai mati sbb vaksin sinovac tk mati lak brap"
"Negatif","na udah dosis sinovac suruh vaksin dosis moderna bingung banget"
"Netral","vaksin sinovac muhi coba cek barangkali kuota tutup daftar"
"Negatif","vaksin sekolah sinovac efek samping nya tidak sakit"
"Positif","pearuhan jenius tim diplomasi longterm baik m"
"Negatif","sinovac mah sinovac kalauastrazeneca z tidak mantep sih tap"
"Negatif","sesal pas ditawarin ibu pkm boster po mbak tidak papa nek in"
"Netral","efek dirasain vaksin klau moderna sinovac sih"
"Negatif","vaksin tidak presiden stok vaksin stok sisa"
"Netral","vaksin sinovac berai kudu nyari informasi vaksin tiga"
"Positif","indonesia vaksin emergency use listing terbit who diperlakuk"
"Negatif","iyayak indonesia tu mas kebnayakan sinovac astrazeneca moderna pfizer jarang"
"Netral","anak vaksin lengkap sinovac vaksin pfizer moderna penuh syarat s"
"Negatif","sinovac tidak laku roman sang juragan nakutin dunia pakai isu mutasi varian huahahaha ah terminal"
"Negatif","sinovac beb d vaksin tidak nefek jangan mati"
"Positif","sinovac ngefek banget gamau vaksin tuntut vaksin mobilitas tidak vaksin"
"Negatif","informasi jadwal vaksin covid sinovac dosis garut buka"
"Netral","besok vaksin ktp kabupaten bandung stadion jalak harupat gaiss dosis pakai sinovac"
"Negatif","wes tidak vaksin pakai pfizer mrna ngeri sinovac tidak alergi terminal"
"Positif","faktor vaksin distribusi cepat pei hal sinovac bukan adu"
"Positif","takut suntik inovasi vaksin plester solusi"
"Netral","vaksin sinovac koramil tangerang bawa copy ktp pagisiang"
"Netral","vaksinasi merdeka rentak pesantren rumah ibadah laksana ber"
"Netral","bisa vaksin ama sinovac astrazeneca"
"Negatif","jenis vaksin kalauvaksin ama sinovac kdua sinovac"
"Negatif","sinovac katanyaa sih meg berkat kemenkes kalautidak nunggu setel"
"Netral","belum vaksin bingung vaksin saran mending sinovac denger o"
"Netral","besok vaksin ktp kabupaten bandung stadion jalak harupat gaiss dosis pakai sinovac"
"Netral","serius pakai astramoderna efek kaya en vaksin dapetnya sinovac tidak efek samping apa"
"Positif","bhabinkamtibmas kalurahan ngawu bripka prima damping kanit provost aiptu parjiman pemantauan vaksinasi upt"
"Positif","yakin ckp kali"
"Negatif","kalaudi tempat emang banyak sinovac moderna kali diadain massal"
"Negatif","iya ih wow susah tetangga vaksin dapat sinovac"
"Netral","umi mo prgi tidak vaksin sinovac ganerima moderna"
"Negatif","vaksin sinovac pas nunggu kau eh pingsan malu banget bangun bangun kerubungin orang"
"Negatif","serius sinovac efek ringan pkm cobak ngadain vak"
"Netral","tanyaaa vaksin astrazeneca seifikatnya sinovac"
"Positif","layan vaksinasi dosis sinovac vaksin ama berlaku masyarakat ktp"
"Positif","sumpah vaksin moderna dapetnya mana siiiiih jwb tolong tidak vaksin sinovac m"
"Positif","personil polsek sanden pimpin kanit provos iptu suharyanto laksana aman monitoring vaksinasi covid"
"Positif","pahit manis ppv integrasi idcc shah alam beri vaksinasi samada vaksin astrazeneca sinov"
"Positif","indonesia vaksin emergency use listing terbit who pe"
"Negatif","juta kali sinovac rupiah murah sinovac juta warga bayar vaksin boos"
"Negatif","ohh sinovac temen sinovac doang tidak demam vaksin"
"Netral","bep vaksin moderna sinovac"
"Netral","masyarakat desa dawuhan serbu vaksin sinovac"
"Positif","geger vaksin srimulyo jilid i kapanewon piyungan gor p"
"Netral","vaksinasi covid dosis laksana keluarga gawai lingkung sekretariat"
"Netral","olohh hahahhaah bangsa astrazeneca pfizer sinovac hurm skrng vaksin bangsa"
"Positif","teman mohon informasi ibu butuh vaksin vaksin ama sinovac perintah do"
"Netral","ketua arah kesihatan tan sri noor hisham abdullah umum bahawa kuasa ubatubatan dc"
"Netral","b sih urang mah soalna urang beurang vaksin sinovac kadua"
"Positif","juta dosis vaksin remaja lingkung usia china pharmaniaga"
"Positif","gerai vaksin sinovac warga masyarakat lurah ciketing udik camat bantargebang kota bekas"
"Netral","lanjut informasi vaksin ciwalk udah bannernya instagram vaksin pakai sinovac pakai"
"Netral","vaksin sinovac dosis ngantukan gin emang capek sih"
"Negatif","informasi vaksin sinovac dosis catat a jangan lupa bawa syarat"
"Positif","serka budi suwao babinsa krebet laksana giat komsos pemantauan vaksin dosis pesea jenis vak"
"Netral","reposted from vaksinasi covid dosis laksana keluarga gawai l"
"Negatif","vaksin sinovac efek lemes banget mual kepala berat tang kiri lemah banget hu"
"Negatif","bahan utama vaksin sinovac dna babi serum bayi belum lahir hidup sedot bay"
"Positif","uwong uwong ki ngopo le vaksin milih milih sing sinovac ngene loh astrea"
"Positif","uwong uwong ki ngopo le vaksin milih milih sing sinovac ngene loh astrea"
"Positif","sinovac dosis ku tang pegal banget ngantuk banget hari abis vaksin besok"
"Netral","buru daftar link kuota batas vaksin nya jenis sinovac ge"
"Netral","kalausinovac vaksin booster"
"Positif","besea keluarga vaksin sinovac usia"
"Netral","camat ceper beb coba dm instagram puskesmas bayat sana vaksin sinovac dosis"
"Negatif","bahan utama vaksin sinovac dna babi serum bayi belum lahir hidup d"
"Negatif","vaksin sinovac tidak parah"
"Netral","jbrfess informasi vaksin sinovac dosis jember gais"
"Positif","vaksin sinovac selamat kanakkanak pharmaniaga"
"Negatif","bapa bimbang vaksin sinovac selamat kanakkanak remaja"
"Positif","juta dosis vaksin remaja lingkung usia china p"
"Negatif","kayak teori indonesia pakai sinovac biar vaksin ind"
"Netral","nyesel vaksin pakai sinovac tidak ln wow"
"Positif","vaksin dapet sinovac efek samping laper tidak"
"Netral","vaksin sinovac tidak ln yakali vaksin ulang"
"Netral","vaksin astrazeneca zeneca ou sinovac ou tidak efek samping samsek efek samping"
"Negatif","informasi jadwal vaksin covid pfizer sinovac dosis kota bogor puri begawan"
"Negatif","tidak sih abis vaksin sinovac badan keringet dingin mulu gemetar kirakira"
"Positif","pharmaniaga had jamin bapa bahawa vaksin covid sinovac kanakkanak remaja"
"Negatif","ora le lemah i jane ultramen bar suntik vaksin sinovac kuat ilang"
"Negatif","vaksin sinovac gel"
"Positif","polsek kedungwaringin pkm kedungwaringin gelar vaksinasi tahap vaksin jenis sinovac halaman mako"
"Positif","jenis vaksin stasiun cirebon sinovac kak trims"
"Negatif","guna vaksin sinovac golong remaja umur benar ketua arah kesihatan"
"Positif","vaksin sinovac kanakkanak remaja selamat juta dosis rakya"
"Positif","ipda wasirin bhabinkamtibmas anggota laksana aman giat vaksinasi tahap vaksin jenis"
"Positif","giat vaksinasi tahap vaksin jenis pfizer puskesmas kedungwaringin bripka rifai lantas himbau warga"
"Netral","villagers in aceh indonesia refuse the vaccine and destroy the vaccination centre warga aceh ngamuk vaksinat"
"Netral","oxford astrazeneca pfizer biontech moderna janssen kayak sinovac mesti udah vaksin booster dul"
"Negatif","sopo sing butuh informasi vaksin dosis sinovac ndes balas dm"
"Netral","vaksin pakai sinovac chei"
"Positif","pharmaniaga had jamin bapa bahawa vaksin covid sinovac kanakkanak"
"Positif","vaksin sinovac selamat kanakkanak pharmaniaga"
"Netral","naahhh mksdnya iya dok bahan"
"Positif","pharmaniaga bhd jamin bapa bahawa vaksin covid sinovac kanakkanak remaja"
"Positif","vaksin vaksin sinovac alhamdulillah ngantuk laper kipinya"
"Netral","vaksin covid lupa baca biofarm produks"
"Netral","luas populasi kategori umur china tidak rekod makl"
"Positif","juta dosis vaksin rakyat china umur"
"Positif","transma yasmin bogor polresta bogor kota adakan vaksinasi massal usia"
"Netral","coronavac vaksin sinovac vaksin sekolah soalnyaa"
"Netral","luas populasi kategori umur china tidak rekod meng"
"Negatif","cek peduli lindung pke vaksin sinovac a"
"Negatif","cek peduli lindung pke vaksin sinovac astrazeneca sinopharm"
"Netral","hahaha inget talk shit about sinovac like tidak tidak"
"Negatif","halo sahabat rumah sakit baptis batu jadwal pesea vaksin c sinovac tunda ayan"
"Netral","ayo massal jenis vaksin sinovac"
"Positif","supposed hotline dapat informasi number reach lahluar"
"Negatif","rem sender giring opini kalauselain sinovac seram apa vaksin baik"
"Netral","ins besok jadwal vaksinasi covid masyarakat jenis vaksin"
"Negatif","vaksin sinovac kepala pusing banget"
"Netral","putus australia aku vaksin sinovac angin segar wisatawan internasional asal asia te"
"Positif","pegal doang sih nder sinovac efek samping ringan vaksin sehat nya j"
"Negatif","oooooo suntik sinovac tidak demam kakak kayak vaksin astrazeneca efek samping mi"
"Netral","pakai sinovac tidak asli pegal lihat bokap vaksin tiga pakai a"
"Negatif","asline powerrenjes mergo bar vaksin sinovac kuat ilang"
"Negatif","tim riset indonesia efikasi vaksin covid sinovac turun persen beri booste"
"Netral","aikel kubaca sinovac kondisi emergency b"
"Negatif","asik q gaib ngelurusin bukan neger nya but dipeanyakan"
"Netral","putus australia aku vaksin sinovac angin segar wisatawan internasional asal"
"Netral","meriang selesai minum bodrex sembuh saran kalauseperti mama pas"
"Netral","vaksin sinovac"
"Netral","benar hadir majlis surau masjid teakluk lengkap terima dosis"
"Negatif","kalausinovac gaboleh ln astrazeneca moderna parah banget efek yasuda pfizer winwin solutionnya"
"Netral","keluarga beda merk vaksin sinovac adek pfizer astrazeneca kakak modern"
"Positif","yes yes kalangan tengah bawah rewel urus takut baik prevent than never k"
"Positif","na vaksin pakai sinovac emng vaksin lgi pakai astrazeneca"
"Positif","yapsss banget sempet mikir kaya gin sinovac minim banget reaksi trutama l"
"Positif","udah vaksin sinovac vaksin booster moderna nakes"
"Positif","sinovac ngefek banget gamau vaksin tuntut vaksin mobilitas tidak vaks"
"Negatif","daftar nomor teera gambar vaksin dosis sinovac"
"Positif","vaksin sinovac tidak efek abis vaksin lari siklus haid mundur banget kirain positif"
"Netral","pahit manis ppv integrasi idcc shah alam beri vaksinasi samada vaksin"
"Positif","just informasi teman vaksin atur mana i vaksin nya jangan sinovac mostl"
"Netral","vaksin covid sinovac gratis sentul catat syarat tanggal"
"Positif","ohhh lokasi nya belum coba deh na terkahir vaksin"
"Netral","pfizer cominay sinovac coronavac ikut media kanada tidak nama vaksin pf"
"Negatif","so aussie benar lancong lengkap vaksin sinovac azyang hang iya nak anjing pfizerian nah pulak"
"Negatif","pfizer cominay sinovac coronavac ikut media kanada tidak nama v"
"Negatif","habis dosis sinovac alergi kambuh takut vaksin booster"
"Netral","jika"
"Netral","teman informasi vaksin sinovac daerah tangerang dosis belum nemu"
"Positif","zen catat surat keteranganp dokter tidak terima vaksin sinovac astrazeneca"
"Positif","mjb bantu who belum aku vaksin tsb vaksin tsb cu"
"Positif","barubaru malaysia ungkap hasil teliti efektivitas vaksin sinovac pfizer astrazeneca beri"
"Positif","spore orang rela bayar vaksin sinovac pfizer moderna pemerintah"
"Netral","total kuota vaksin siap titik vaksin jenis sinovac arismawati wakil"
"Netral","mjb iya rencana jepang lanjur vaksin sinovac bing"
"Positif","habis vaksin sinovac ama efek ngantuk vaksin laper en gado kebab es soda gembira es goder"
"Positif","transma yasmin bogor polresta bogor kota adakan vaksinasi massal usia a"
"Netral","suntik bu dokter"
"Positif","efek vaksin sinovac laper tidak laper capek ngantuk doang"
"Positif","vaksinasi lur silah sederek teman keluarga belum vaksin buka daftar vaksinasi sinovac k"
"Netral","bep dapet vaksin moderna sinovac"
"Netral","vaksin sinovac"
"Positif","vaksin sinovac besok langsung tidur hari nder asli ngantuk banget bawa"
"Negatif","halo barangkali admin followersnya informasi vaksin dosis sinovac uin malang tunda"
"Positif","suka pilihpilih vaksin hayo ngaku awalawal en nungguin vaksin a"
"Positif","tidak eropa vaksin sinovac gimana kak vaksin yakali"
"Positif","vaksin sinovac sih gejala ngantuk doang laperan"
"Positif","vaksin skuyy"
"Netral","informasi vaksin sinovac dosis jog makasi"
"Negatif","asline powerrenjes mergo bar vaksin sinovac kuat ilang"
"Netral","tidak vaksin sinovac ama daerah jakbar mana bapak nyari astrazeneca pfizer bapa"
"Netral","efek vaksin sinovac ancen ngantukluwe an a iki"
"Positif","sinovac udah sek napas pas abis vaksin untung bentar doang sih normal"
"Positif","sinovac kak benar tidak pilah pilih vaksin dukung sabang merauke"
"Netral","kapolsek kanit bimas kanit intel bhabinkamtibmas polsek srandakan bintara trecer polsek srandakan monitoring"
"Positif","keluarga terima vaksin sinovac temanteman banyak astrazeneca dap"
"Netral","indonesia terima datang vaksin covid juta dosis vaksin sinovac"
"Positif","periode tambah vaksin moderna lengkap vaksin sinovac astrazeneca"
"Netral","sinovac tidak efek vaksin moderna tidak"
"Positif","abis vaksin sinovac minum kopi neng banget asa hepi banget en tawa mu"
"Netral","butuh vaksin kota padang moderna sinovac pfizer tinggal daftar"
"Positif","eh iya vaksin astrazeneca sakit untung sinovac tidak napa"
"Positif","cari vaksin pfizer depok vaksin astrasinovac rsui daftar via web"
"Positif","pearuhan jenius tim diplomasi longterm baik"
"Netral","vaksin bagi sinovac suami astrazeneca zenneca tante ku manula pfizer adek pupu nake"
"Negatif","ragu teman informasi vaksin jenis sinovac en jenis"
"Netral","butuh vaksin kota padang moderna sinovac pfizer tinggal daftar"
"Negatif","sinovac kayak tetangga vaksin bhayangkara tidak acara"
"Positif","beda merek vaksin beda isi pilih vaksin aman whole virus inactived sinovac coronavac sinopharm"
"Positif","vaksin astrazeneca efek sinovaclapar ngantuk meriang esok hari itu"
"Netral","informasi vaksin sinovac bogor puskesmas cijujung kuota orang"
"Netral","vaksin adh masuk indonesia sinovac sinopharm astrazeneca modena pfizer teman"
"Positif","eh pakai vaksin pakai sinovac hati tenang deh"
"Positif","vaksin vaksin sinovac alhamdulillah sehat sehat"
"Positif","ihh asli en vaksin sinovac tidak mana abis paksa moderna butuh"
"Positif","papua at least udah vaksin sih sinovac smua"
"Netral","tante udah tidak vaksin kesel banget udah gapapa mumpung sinovac pakai alesan bany"
"Negatif","eropa tidak temen kantor gagal visa vaksin sinovac"
"Netral","vaksin sinovac bandara juanda surabaya dosis kuota dosis daftar link online"
"Netral","vaksin bagi sinovac suami astrazeneca zenneca tante ku manula pfizer adek pupu"
"Negatif","tteh pakai vaksin astrazeneca tidak gejala kek pegal tang abis suntik sam"
"Positif","vaksin tahap sinovac alhamdulillah sehat sehat"
"Positif","belum malaysia banding efektivitas vaksin sinovac pfizer vaksin astrazeneca hasil"
"Negatif","ketua riset uji klinis sinovac bandung prof kusnandi ungkap efikasi vaksin sinovac kurang"
"Negatif","keluarga vaksin sinovac doang nya kota emang efek tidak"
"Positif","sing vaksin e sinovac rasah maki ngene astrea grandneva"
"Netral","temen ku vaksin pfizer rata efek samping nya kayak sinovac doang bestie tidak imun terminal"
"Netral","sinovac affa hotline informasi bagitau klinik vaksin teentu te"
"Negatif","tbh glad tidak sinovac gapapa keras efek rada gila banyak baca poal negara"
"Negatif","benar sih kakak vaksin sinovac ngeri tetangga dapet astrazeneca mual parah"
"Netral","jenis vaksin indonesia sinovac astrazeneca zeneca moderna pfizer"
"Negatif","majoritas guna sinovac keluh banget sih kota mayoritas sino"
"Positif","temen abis papar cword tidak vaksin kampus pakai sinovac eh pas sembuh l"
"Positif","alhamdulillah vaksin sinovac harap moga vaksin"
"Positif","just informasi teman vaksin atur mana i vaksin nya jangan"
"Positif","jakaa moderna pfizer sentra vaksin nunggu moderna kar"
"Negatif","kayak teori indonesia pakai sinovac biar vaksin apalag"
"Positif","harih vaksin teman palangka raya kirim foto terima vaksinasi"
"Positif","ngomong ngomong pikir pikir syukur indonesia vaksin utama dosis banyak sinovac cerita temen s"
"Netral","kader pks vaksin camat koto ta­ngah sedia dosis vaksin sinovac moderna"
"Positif","vaksin indonesia baik astrazeneca sinovac dll tahap klinis m"
"Negatif","hai nak walkin second dose klinik kesihatan kuala lumpur klinik kesihatan menawarkan"
"Negatif","alhamdulillah busui udah lengkap dosis vaksin sinovac gin nda keran"
"Netral","tementemen informasi vaksin sinovac kalauada infoin yakk bantu temen nyariin soale"
"Netral","dapet kuota vaksin sinovac pfizer astrazeneca johnson johnson pemerintah me"
"Negatif","sinovac tidak laku roman sang juragan nakutin dunia pakai isu mutasi varian huahahaha"
"Netral","its vaksin sinovac nder"
"Negatif","informasi vaksin dosis sinovac malang kota terimakasih"
"Positif","vaksin sinovac dosis pulang bawa sembako gratis royal plaza ktp indonesia"
"Positif","iyaa moga cepat sembuh alergi biar cepat vaksin oalah bri pakai sinovac"
"Negatif","vaksin covid bogor massal puskesmas kemang pakai sinovac dosis"
"Negatif","komando distrik militer slm bekerjasama dinkes kabupaten sleman ugm aparat kait stakeholder mela"
"Netral","informasi vaksin dosis sinovac rek bangsalsari terimakasiii jbrfess"
"Negatif","informasi vaksin sinovac dosis jogja"
"Negatif","vaksin covid bogor massal puskesmas kemang pakai sinovac masyarakat"
"Positif","republik indonesia booster nakesdan tidak vaksin modernakebanyakkan sinovac keleees"
"Netral","vaksin nya jenis sinovac"
"Netral","samaa hr vaksin sinovac"
"Negatif","informasi vaksin dosis sinovac malang kota terimakasih"
"Negatif","informasi vaksin covid bogor massal puskesmas caringin pakai pfizer sinovac"
"Positif","pakai vaksin eza pakai sinovac pas vaksin tidak sakit vaksin m"
"Netral","vaksin dosis sinovac kouta dimnaa"
"Netral","mukomuko siap dosis vaksin sinovac ajar news bengkulu"
"Netral","informasi vaksin sinovac pfizer bogor masyarakat catat lokasi"
"Negatif","sih nder pas vaksin sinovac demam minggu"
"Netral","sinovac hbu vaksin"
"Positif","kapolsek mojolaban pimpin aman vaksinasi massal gerai vaksin presisi gedung blk bekonang camat mojolaban"
"Netral","hahahah kmren ditawarin bilang maksude vaksin sinovac maneh peng opo w"
"Netral","vaksin sinovac dosis gedung tppkk syarat jadwal cp cek foto"
"Netral","via vaksin sinovac dosis gedung tppkk syarat jadwal cp cek foto"
"Negatif","pesawat positif loh mas"
"Negatif","vaksin sinovac sakit tidak sih"
"Netral","via vaksin sinovac dosis gedung tppkk syarat jadwal cp cek foto"
"Netral","gantung vaksin nder sinovac vaksin tidak efek"
"Netral","update informasi vaksin sinovac pfizer dosis bogor kuota orang"
"Netral","vaksin sinovac dosis gedung tppkk syarat jadwal cp cek foto"
"Positif","alhamdulillah kali vaksin sinovac tidak efek sih kalaumodernaastrazeneca kayak lumaya"
"Positif","pakai vaksin sinovac tidak aku fully vaccinated"
"Negatif","udahhsyukur nyaa tidak efek tang bekas vaksin rada nyeri ngomong ngomong p"
"Negatif","cansino sputnik v indonesia jenis pfizer moderna johnson astrazeneca sinovac sinopharm beijing cansino sput"
"Positif","negara izin vaksin indonesia filipina vaksin sinovac sinopha"
"Negatif","habis covid udah vaksin lt baik udah sinovac modern"
"Positif","suasana vaksinasi selenggara ika universitas airlangga selenggara vaksina"
"Positif","tidak uk tau hajiumroh minimal vaksin nya astrazeneca k"
"Netral","informasi tidak vaksin dosis sinovac daerah cipondoh"
"Positif","solidaritas vaksin psi kota depok vaksin sinovac dosis syarat warga indonesia bawa foto copy ktp"
"Positif","dosis administrasi amerika inggris bayang untung farmasi vaksin"
"Negatif","vaksin kali pas tidak sinovac tidak hehe"
"Negatif","kalauvaksin astrazeneca neger kalausinovac belum mas"
"Netral","baik salah belum jenis vaksin moderna pfizer s"
"Positif","dapet moderna nder coba kaya surat faskes vaksin vaksin jenis in"
"Negatif","sinovac udah akuin who fega belanda diakuin maslahnya seifikat vak"
"Netral","habis vaksin dosis lupa na tenaga medis sih udah na s"
"Positif","bagus nder tidak bagus kalauudah vaksin sinovac tidak ganti nder yakin sih bagus"
"Positif","vaksin bagus gaboleh milih dose sinovac dose"
"Negatif","vaksin jenis masuk korea ndak karantina kyknya bukan sinovac deh"
"Positif","barubaru malaysia ungkap hasil teliti efektivitas vaksin sinovac pfizer astrazeneca h"
"Netral","bah udah dapet booster moderna st nd nya pakai sinovac dianggep udah vaksin belum"
"Positif","hmmm pikir en vaksin lagikarena dapet vaksin sinovac"
"Netral","om vaksin sinovac mana"
"Netral","oxford astrazeneca pfizer biontech moderna janssen kayak sinovac mesti udah vaksin boos"
"Positif","dosis vaksin sinovac vaksinasi tahap i i ajar mukomuko besok"
"Negatif","bahhh berai vaksin sinovac berlaku takut pas tolak edar kabar vaksin sinovac tidak"
"Positif","udah vaksin dosis efek samping gimana sinovac yh"
"Positif","cerita igsnya vaksin sinovac tidak diakuin france anggap belum vaksin tr"
"Positif","aaa bangga salah vaccinator vaksin pfizersinovac astrazeneca selamat mesti"
"Positif","iya vaksin seko sih and tidak kasi vaksin sinovac maybe gtw deh"
"Netral","ngomong ngomong vaksin re vaksin sinovac efek parah sempet sek nafas mnt"
